insuranceid,insuranceprovider,insurancecoverage,insurancepremium,insurancedeductible
1,TotalProtect Insurers,Medical Payments Coverage,521,11
2,TotalProtect Insurers,Comprehensive Coverage,158,72
3,Swift Assurance,Personal Injury Protection,793,90
4,Shield Protect,Personal Injury Protection,821,37
5,XYZ Insurance,Full Coverage,732,91
6,SafeDrive Assurance,Full Coverage,733,83
7,Guardian Insurers,Medical Payments Coverage,415,29
8,SafeDrive Assurance,Comprehensive Coverage,787,31
9,SureSafety Insurance,Uninsured Motorist Coverage,240,23
10,SureSafety Insurance,Uninsured Motorist Coverage,877,61
11,SecureRide Insurance,Roadside Assistance,961,10
12,SafeDrive Assurance,Full Coverage,508,20
13,TotalProtect Insurers,Comprehensive Coverage,397,72
14,Guardian Shield,Rental Car Coverage,527,11
15,TotalProtect Insurers,Medical Payments Coverage,194,90
16,Guardian Shield,Underinsured Motorist Coverage,221,38
17,Guardian Insurers,Underinsured Motorist Coverage,306,89
18,Guardian Shield,Roadside Assistance,332,77
19,Shield Protect,Full Coverage,681,10
20,Guardian Insurers,Comprehensive Coverage,366,98
21,Guardian Shield,Roadside Assistance,163,55
22,TotalProtect Insurers,Full Coverage,490,93
23,Shield Protect,Rental Car Coverage,649,30
24,SafeDrive Assurance,Uninsured Motorist Coverage,946,91
25,Guardian Insurers,Underinsured Motorist Coverage,216,61
26,SafeDrive Assurance,Uninsured Motorist Coverage,587,45
27,Shield Protect,Medical Payments Coverage,989,27
28,TotalProtect Insurers,Comprehensive Coverage,829,71
29,FastCover Insurance,Liability Coverage,373,87
30,SafeDrive Assurance,Personal Injury Protection,425,35
31,Swift Assurance,Full Coverage,349,51
32,FastCover Insurance,Full Coverage,922,13
33,XYZ Insurance,Liability Coverage,763,20
34,SecureRide Insurance,Rental Car Coverage,863,92
35,XYZ Insurance,Liability Coverage,226,42
36,Guardian Insurers,Full Coverage,100,55
37,FastCover Insurance,Comprehensive Coverage,435,50
38,SafeDrive Assurance,Comprehensive Coverage,730,45
39,SafeDrive Assurance,Collision Coverage,216,71
40,Swift Assurance,Comprehensive Coverage,916,31
41,Guardian Shield,Liability Coverage,328,94
42,Guardian Insurers,Full Coverage,674,55
43,Shield Protect,Roadside Assistance,833,50
44,TotalProtect Insurers,Roadside Assistance,363,57
45,FastCover Insurance,Personal Injury Protection,163,10
46,Guardian Shield,Roadside Assistance,841,75
47,FastCover Insurance,Liability Coverage,257,31
48,FastCover Insurance,Liability Coverage,773,61
49,Shield Protect,Rental Car Coverage,993,13
50,SafeDrive Assurance,Roadside Assistance,780,90
51,FastCover Insurance,Rental Car Coverage,975,78
52,Shield Protect,Medical Payments Coverage,594,73
53,Shield Protect,Rental Car Coverage,596,26
54,SafeDrive Assurance,Full Coverage,195,55
55,FastCover Insurance,Comprehensive Coverage,173,84
56,SafeDrive Assurance,Uninsured Motorist Coverage,589,10
57,SecureRide Insurance,Comprehensive Coverage,886,31
58,Swift Assurance,Full Coverage,800,68
59,FastCover Insurance,Uninsured Motorist Coverage,478,27
60,SecureRide Insurance,Liability Coverage,352,86
61,Shield Protect,Uninsured Motorist Coverage,568,39
62,Guardian Shield,Liability Coverage,686,96
63,XYZ Insurance,Rental Car Coverage,233,14
64,SafeDrive Assurance,Rental Car Coverage,300,77
65,SureSafety Insurance,Roadside Assistance,730,35
66,Guardian Shield,Collision Coverage,124,56
67,TotalProtect Insurers,Liability Coverage,730,85
68,SecureRide Insurance,Roadside Assistance,413,86
69,Guardian Shield,Liability Coverage,127,60
70,SecureRide Insurance,Roadside Assistance,898,63
71,XYZ Insurance,Medical Payments Coverage,124,76
72,SafeDrive Assurance,Collision Coverage,801,11
73,XYZ Insurance,Collision Coverage,670,19
74,FastCover Insurance,Full Coverage,429,46
75,SecureRide Insurance,Personal Injury Protection,683,23
76,XYZ Insurance,Roadside Assistance,814,33
77,Guardian Insurers,Uninsured Motorist Coverage,274,16
78,TotalProtect Insurers,Liability Coverage,783,54
79,TotalProtect Insurers,Collision Coverage,230,79
80,Guardian Insurers,Liability Coverage,641,77
81,SafeDrive Assurance,Roadside Assistance,244,98
82,Guardian Insurers,Full Coverage,341,45
83,SureSafety Insurance,Liability Coverage,591,81
84,SureSafety Insurance,Collision Coverage,743,32
85,SureSafety Insurance,Roadside Assistance,454,42
86,Swift Assurance,Personal Injury Protection,304,60
87,Guardian Shield,Liability Coverage,567,12
88,Guardian Shield,Personal Injury Protection,827,12
89,Guardian Insurers,Comprehensive Coverage,896,77
90,Guardian Insurers,Personal Injury Protection,446,28
91,Guardian Shield,Liability Coverage,737,97
92,SecureRide Insurance,Uninsured Motorist Coverage,544,79
93,FastCover Insurance,Uninsured Motorist Coverage,433,67
94,XYZ Insurance,Comprehensive Coverage,294,12
95,SecureRide Insurance,Full Coverage,562,43
96,Guardian Insurers,Roadside Assistance,125,94
97,Shield Protect,Roadside Assistance,834,78
98,SureSafety Insurance,Rental Car Coverage,622,10
99,SecureRide Insurance,Liability Coverage,332,60
100,SecureRide Insurance,Rental Car Coverage,377,62
