vehicleid,vehicletype,serviceinfo,insuranceinfo
1,Truck,Bi-annual check-ups,N
2,Truck,Bi-annual check-ups,N
3,Electric Car,Family-friendly model,N
4,Convertible,Heavy-duty maintenance,N
5,Motorcycle,Battery system inspection,N
6,Electric Car,Regularly serviced,Y
7,Sedan,Bi-annual check-ups,Y
8,Limousine,Family-friendly model,Y
9,Convertible,Specialized care,N
10,Compact,Monthly check-ups,Y
11,Sedan,Bi-annual check-ups,Y
12,Motorcycle,Fuel-efficient model,Y
13,Electric Car,Fuel-efficient model,Y
14,Electric Car,Bi-annual check-ups,Y
15,Motorcycle,Bi-annual check-ups,N
16,Minivan,Bi-annual check-ups,Y
17,Minivan,Bi-annual check-ups,Y
18,Motorcycle,Heavy-duty maintenance,Y
19,Sedan,Specialized care,N
20,Limousine,Specialized care,N
21,SUV,Fuel-efficient model,Y
22,Minivan,Specialized care,N
23,Limousine,Regularly serviced,Y
24,Electric Car,Monthly check-ups,Y
25,Minivan,Regularly serviced,N
26,Hatchback,Bi-annual check-ups,N
27,Convertible,Bi-annual check-ups,N
28,Truck,Regularly serviced,N
29,SUV,Specialized care,N
30,Convertible,Bi-annual check-ups,N
31,Compact,Battery system inspection,N
32,Limousine,Regularly serviced,N
33,Compact,Regularly serviced,N
34,Convertible,Heavy-duty maintenance,N
35,Limousine,Specialized care,Y
36,Hatchback,Specialized care,N
37,Hatchback,Battery system inspection,N
38,Hatchback,Regularly serviced,Y
39,Motorcycle,Monthly check-ups,N
40,Truck,Monthly check-ups,Y
41,Hatchback,Heavy-duty maintenance,N
42,Convertible,Regularly serviced,Y
43,Limousine,Heavy-duty maintenance,Y
44,Limousine,Family-friendly model,N
45,Motorcycle,Monthly check-ups,Y
46,Hatchback,Heavy-duty maintenance,Y
47,Truck,Family-friendly model,N
48,Motorcycle,Heavy-duty maintenance,Y
49,Limousine,Luxury vehicle maintenance,Y
50,Limousine,Heavy-duty maintenance,N
51,Electric Car,Specialized care,Y
52,Minivan,Regularly serviced,Y
53,Convertible,Specialized care,N
54,Sedan,Specialized care,Y
55,Compact,Heavy-duty maintenance,Y
56,Electric Car,Heavy-duty maintenance,Y
57,Truck,Luxury vehicle maintenance,Y
58,Truck,Specialized care,N
59,Minivan,Specialized care,Y
60,Electric Car,Bi-annual check-ups,N
61,Electric Car,Luxury vehicle maintenance,Y
62,Limousine,Battery system inspection,N
63,SUV,Family-friendly model,Y
64,Truck,Regularly serviced,Y
65,Electric Car,Heavy-duty maintenance,Y
66,SUV,Luxury vehicle maintenance,Y
67,Electric Car,Luxury vehicle maintenance,N
68,Limousine,Luxury vehicle maintenance,N
69,Compact,Fuel-efficient model,N
70,Sedan,Specialized care,Y
71,Compact,Heavy-duty maintenance,Y
72,Minivan,Bi-annual check-ups,N
73,Sedan,Family-friendly model,N
74,Minivan,Specialized care,N
75,Compact,Specialized care,Y
76,Electric Car,Luxury vehicle maintenance,N
77,SUV,Family-friendly model,N
78,Limousine,Monthly check-ups,Y
79,Convertible,Battery system inspection,N
80,Electric Car,Specialized care,N
81,Motorcycle,Family-friendly model,Y
82,Electric Car,Heavy-duty maintenance,Y
83,Truck,Luxury vehicle maintenance,Y
84,Limousine,Fuel-efficient model,Y
85,Compact,Fuel-efficient model,N
86,Convertible,Bi-annual check-ups,Y
87,Sedan,Monthly check-ups,Y
88,Limousine,Heavy-duty maintenance,N
89,Truck,Specialized care,N
90,Electric Car,Fuel-efficient model,N
91,Hatchback,Specialized care,Y
92,Minivan,Luxury vehicle maintenance,N
93,Truck,Luxury vehicle maintenance,Y
94,SUV,Monthly check-ups,Y
95,Sedan,Bi-annual check-ups,N
96,Motorcycle,Monthly check-ups,N
97,Minivan,Specialized care,N
98,Compact,Battery system inspection,N
99,Motorcycle,Heavy-duty maintenance,Y
100,Limousine,Heavy-duty maintenance,N
